12,12,12,12,61,62,62,62,62,62,62,62,62,62,62,62,62,62,64,12,12,12,12,12,12,
12,12,12,61,23,0,0,0,0,0,0,0,0,0,0,0,0,0,21,64,12,12,12,12,12,
12,12,61,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,64,12,12,12,12,
62,62,23,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,0,0,0,0,21,62,62,62,64,
0,0,0,0,0,0,0,1,93,93,93,93,93,92,92,3,0,0,0,0,0,0,0,0,74,
0,0,0,0,0,0,0,74,12,12,12,12,12,12,12,71,0,0,0,-2,0,0,0,0,74,
92,92,92,92,3,0,0,74,12,12,12,12,12,12,12,71,0,0,41,42,42,43,0,0,74,
12,12,12,12,81,0,0,74,12,12,12,12,12,12,12,71,0,0,0,0,0,0,0,0,74,
12,12,12,12,81,0,0,74,12,12,12,63,22,22,22,23,0,0,0,0,0,-2,-2,0,74,
12,12,12,12,81,0,0,74,12,63,23,0,0,0,0,0,0,0,1,92,92,92,93,93,94,
12,61,22,22,23,0,0,21,23,0,0,0,0,0,0,-2,-2,1,94,12,12,12,12,12,12,
12,71,0,0,0,0,0,0,0,0,0,0,0,1,92,92,92,94,12,12,12,12,12,12,12,
12,71,0,0,0,0,0,0,0,0,0,0,1,94,12,12,12,12,12,12,12,12,12,12,12,
61,23,0,0,0,0,0,0,0,0,-2,1,94,12,12,12,12,12,12,12,12,12,12,12,12,
71,0,0,0,0,0,0,1,92,92,92,94,12,12,12,12,12,12,12,12,12,12,12,12,12,
71,0,0,0,0,0,1,94,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
71,0,0,0,1,92,94,12,12,12,12,12,61,62,62,62,62,62,62,62,62,62,62,64,12,
12,43,0,0,74,12,12,12,12,12,12,12,13,0,0,0,0,0,0,0,0,0,0,74,12,
71,0,0,0,74,12,12,12,12,12,12,61,23,0,0,0,0,0,0,0,0,0,0,74,12,
71,0,0,0,74,12,12,12,12,12,12,13,0,0,0,1,92,3,0,0,0,0,0,74,12,
71,0,0,4,21,63,62,64,12,12,61,23,0,0,0,74,12,71,0,0,0,4,4,74,12,
71,0,0,0,0,0,0,21,22,63,23,0,0,0,0,74,12,71,0,0,0,0,0,74,12,
71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,74,12,71,0,41,42,43,0,74,12,
71,0,0,0,0,-2,-2,-2,-2,0,0,0,0,0,0,74,12,71,0,0,0,0,0,74,12,
91,92,92,92,92,92,92,92,92,92,92,92,92,92,93,94,12,71,0,0,0,0,0,74,12,
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,71,4,4,0,0,0,74,12,
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,71,0,0,0,0,0,74,12,
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,23,0,0,0,0,1,94,12,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92,94,12,12,
0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,-2,0,1,94,12,12,12,12,
0,0,0,0,0,0,0,0,1,92,93,93,92,3,0,0,1,92,92,94,12,12,12,12,12,
0,0,0,0,0,0,0,1,94,12,12,12,12,71,0,0,74,12,12,12,12,12,12,12,12,
0,0,0,0,0,0,1,94,12,12,12,12,12,71,43,0,74,12,12,12,12,12,12,12,12,
0,0,0,0,0,1,94,12,12,12,12,12,12,71,0,0,74,12,12,12,12,12,12,12,12,
92,92,92,92,92,94,12,12,12,12,12,12,12,71,0,41,74,12,12,12,12,12,12,12,12
